id,texts,labels,PREPROCESSED_texts
5552,"çok kalıcı oldugu soylenmesi biraz yanıltıcı.koku çok cool ancak cok kalıcı değil, zaten parfümde aşırı kalıcılık ona zarar verir.sadece kalıcı parfüm arıyorsanız aradığınız bu değil...",negative,"çok kalıcı olduğu söylenmesi biraz yanıltıcı . kökü çok cool ancak çok kalıcı değil , zaten parfümde aşırı kalıcılık ona zarar verir . sadece kalıcı parfüm arıyorsanız aradığınız bu değil ..."
5553,"ürün güzel hızlı,ihtiyaçlarımızı karşılıyor,kötü bir tarafı var çift hat kullanılmak istendiği zaman hafıza kartı kullanılamıyor,yani tek hat ve hafıza kart veya çift hat ama hafıza kartı yok,ama keşke hafıza kartı yeri telefonda ayrı bir yerde yapsaydılar,bunun dışında parmak izi süper telefon harika desem yeridir..",negative,"ürün güzel hızlı , ihtiyaçlarımızı karşılıyor , kötü bir tarafı var çift hat kullanılmak istendiği zaman hafıza kartı kullanılamıyor , yani tek hat ve hafıza kart veya çift hat ama hafıza kartı yok , ama keşke hafıza kartı yeri telefonda ayrı bir yerde yapsaydılar , bunun dışında parmak izi süper telefon harika desem yeridir . ."
5554,"bu fiyata çok daha güzel koku ala bilirsiniz, ağır boğucu kokuda çokta güzel değil beğenmedim.",negative,"bu fiyata çok daha güzel koku alabilirsiniz bilirsiniz , ağır boğucu kokuda çokta güzel değil beğenmedim ."
5555,parfümü dün aldım kalıcılığı idare eder parfüm öyle çok kendini belli etmiyor ama gömleğe yaklaşıp koklayınca anlaşılıyor.kokusu da fena değil yani orta sınıf bir parfüm işte,negative,parfümü dün aldım kalıcılığı idare eder parfüm öyle çok kendini belli etmiyor ama gömleğe yaklaşıp koklayınca anlaşılıyor . kokusu da fena değil yani orta sınıf bir parfüm işte
5556,hacı yağı gibi bulaşmayın,negative,hacı yağı gibi bulaşmayın
5557,farklı kaliteli markaları denedim. hepsine bir süre sonra alışıp kullandığınıza memnun olursunuz. bu parfüm bana çok tatlı ve ağar gibi geldi kaç ay oldu severek isteyerek sıkmıyorum.,negative,farklı kaliteli markaları denedim . hepsine bir süre sonra alışıp kullandığınıza memnun olursunuz . bu parfüm bana çok tatlı ve ağar gibi geldi kaç ay oldu severek isteyerek sikmiyorum .
5558,afedersiniz ama parfüm bildiğin yüzünde 2 kilo boya olan konsumatris parfümü o kadar ağır bir koku ama bir kokusu yok sadece ağır bayat bir koku erkek parfümü olduğu bile şüpheli bence uzak durun,negative,afedersiniz ama parfüm bildiğin yüzünde 2 kilo boya olan konsomatris parfümü o kadar ağır bir koku ama bir kokusu yok sadece ağır bayat bir koku erkek parfümü olduğu bile şüpheli bence uzak durun
5559,90 yillarda kaliciligi hat safhadaydi.o zamanlar ciddi pahaliydi ama verilen paraya degerdi.simdi ise kaliciligi kalmamis malesef.eskiden uzerinize sıkıp kiyafetinizi yikasaniz bile halen kokusu uzerinde kalirdi.,negative,90 yıllarda kalıcılığı hat safhadaydı . o zamanlar ciddi pahalıydı ama verilen paraya değerdi . şimdi ise kalıcılığı kalmamış maalesef . eskiden üzerinize sıkıp kıyafetinizi yıkasanız bile halen kokusu üzerinde kalırdı .
5560,almayin çok kötü rahatsiz edici çevremden kötü yorumlar aldim!!!,negative,almayı çok kötü rahatsız edici çevremden kötü yorumlar aldım ! ! !
5561,"yorumlara kesinlikle aldanmayın. aldım, kenarda duruyor. sadece 1 kere sıkıp dışarı çıktım ama içim huzursuz oldu çünkü kokusu sizi bile rahatsız ediyor, bir de etraftakileri düşünün. çok ağır ve harbiden de hacı yağı gibi. zevk meselesi ama bence ne yapıp edin almayın (:",negative,"yorumlara kesinlikle aldanmayın . aldım , kenarda duruyor . sadece 1 kere sıkıp dışarı çıktım ama içim huzursuz oldu çünkü kokusu sizi bile rahatsız ediyor , bir de etraftakileri düşünün . çok ağır ve harbiden de hacı yağı gibi . zevk meselesi ama bence ne yapıp edin almayın ( :"
5562,parfüm ağır ve sıradan kalıcılık çok yazıf bu fiyata başka parfüm deneyi derim...i̇sim yapmış bir marka diye almayın..saygılar..ayrıca parfüm orjinal şüphe etmeyin.hb güvenin..,negative,parfüm ağır ve sıradan kalıcılık çok yazık bu fiyata başka parfüm deneyi derim ... isim yapmış bir marka diye almayın . . saygılar . . ayrıca parfüm orjinal şüphe etmeyin . hb güvenin . .
5563,"berbat bir koku, annem kokladı, aynı hacı yağı gibi dedi.teyzemler kokladı, aman bu nasıl bi kokuymuş dediler.ben de çok itici buldum kokuyu.kesinlikle tavsiye etmiyorum.boşuna harcamayın paranızı, yazık.",negative,"berbat bir koku , annem kokladı , aynı hacı yağı gibi dedi . teyzemler kokladı , aman bu nasıl bir kokuymuş dediler . ben de çok itici buldum kokuyu . kesinlikle tavsiye etmiyorum . boşuna harcamayın paranızı , yazık ."
5564,"90 lardaki versiyonu efsanedir.tek fısı 24 saat rahatlıkla fark edilir.ertesi gün  dahi hissedilir.kıyafetlerinizden yıkasanız bile çıkmaz.2000 den sonraki formül 12 saati anca çıkarır.bu formül ise çok daha zayıf malesef ki :((( bu koku alt notaları var diye sevilen bir kokuydu.bu vesiyon 2 saat farkedilirlik varsa,birkaç saat daha ekleyelim hissedilirlik için sonra yok olup gidiyor.koku daha oturmadan tende uçuyor.alt nota diye birşey pek kalmamış.o saldırgan vahşi bir kaplan gibi olan joop olmuş ev kedisi :p i̇syanım ürünü satanlara değil üretenlere!!!bu fiyatla bu ürünü üretmek yerine 2 katı fiyata hatta 3 olsun eski formülümüzü geri verseler...bu son versiyonda dikkatimi çeken birşey sıktıktan 10 dk sonra alkol kokusu vuruyor çok aşırı derecede.koku aynı ama ruhu yok ... (eski bir joop sever)",negative,"90 bardaki versiyonu efsanedir . tek fişi 24 saat rahatlıkla fark edilir . ertesi gün dahi hissedilir . kıyafetlerinizden yıkasanız bile çıkmaz . 2000 den sonraki formül 12 saatte anca çıkarır . bu formül ise çok daha zayıf maalesef ki :( ( ( bu koku alt notaları var diye sevilen bir köküydü . bu versiyon 2 saat farkedilirlik varsa , birkaç saat daha ekleyelim hissedilirlik için sonra yok olup gidiyor . koku daha oturmadan tende uçuyor . alt nota diye bir şey pek kalmamış . o saldırgan vahşi bir kaplan gibi olan koop olmuş ev kedisi :p isyanım ürünü satanlara değil üretenlere ! ! ! bu fiyatla bu ürünü üretmek yerine 2 katı fiyata hatta 3 olsun eski formülümüzü geri verseler ... bu son versiyonda dikkatimi çeken bir şey sıktıktan 10 dk sonra alkol kokusu vuruyor çok aşırı derecede . kökü aynı ama ruhu yok ... ( eski bir koop sever )"
5565,berbercinin tıraş sonrası sıktığı koku gibi ,negative,berbercinin tıraş sonrası sıktığı koku gibi
5566,beğenerek sıkıyorum ama farkedilirlik sıfır vanilyalı pasta gibi.,negative,beğenerek sıkıyorum ama farkedilirlik sıfır vanilyalı pasta gibi .
5567,herkesin  zevki  başka bana  çok güzel  gelmedi açıkçası.,negative,herkesin zevki başka bana çok güzel gelmedi açıkçası .
5568,agir ve kalici deil almayin paraniza yazik,negative,ağır ve kalıcı değil almayın paranıza yazık
5569,kokusu başta ağır. daha sonra iyi oluyor ancak güzelleştikten kısa süre sonra kayboluyor gibi oluyor yada burnunuz alışıyor. bunu sıkınca herkes size bakıcak diye birşey yok. yanılgıya düşmeyin. bence bu paraya buna benzer 4 şişe açık parfüm alırısınız. hepsiburada.com hızlı kargo teşkkürler.,negative,kokusu başta ağır . daha sonra iyi oluyor ancak güzelleştikten kısa süre sonra kayboluyor gibi oluyor yada burnunuz alışıyor . bunu sıkınca herkes size bakacak diye bir şey yok . yanılgıya düşmeyin . bence bu paraya buna benzer 4 şişe açık parfüm alırsınız . hepsiburada.com hızlı kargo teşekkürler .
5570,yorumlara bakarak almıştım ama anlatıldığı kadar güzel değil kalıcı olduğu doğru çevremden olumlu tepkiler almadım tavsiye etmiyorum yani cool water game i deneyin bi,negative,yorumlara bakarak almıştım ama anlatıldığı kadar güzel değil kalıcı olduğu doğru çevremden olumlu tepkiler almadım tavsiye etmiyorum yani cool water game ı deneyin bir
5571,buradaki yorumlara bakarak aldım..kişiye göre elbette değişir ama güzel koku diyen arkadaşlara anlam veremiyorum.sadece 1 kere sıkabildim ve iade işlemine karar verdim..,negative,buradaki yorumlara bakarak aldım . . kişiye göre elbette değişir ama güzel koku diyen arkadaşlara anlam veremiyorum . sadece 1 kere sıkabildim ve iade işlemine karar verdim . .
5572,3 adet parfüm siparişi verdim.,negative,3 adet parfüm siparişi verdim .
5573,davidoff adventure 10 puan,negative,davidoff adventure 10 puan
5574,hugo boss 7 puan,negative,hugo boss 7 puan
5575,joop homme ise 3 puan ,negative,joo homme ise 3 puan
5576,nedenmi 3 puan koku basit koku çünkü ortaokul yada liseye giden birine belki hoş gelebilir.,negative,neden mi 3 puan koku basit koku çünkü ortaokul yada liseye giden birine belki hoş gelebilir .
5577,ama 20 yaş üstü için çok basit kaçacağını düşünüyorum.,negative,ama 20 yaş üstü için çok basit kaçacağını düşünüyorum .
5578,tavsiye parfümler roma-kenzo-davidoff adventure-diesel,negative,tavsiye parfümler roma-kenzo - davidoff adventure-diesel
5579,ama tabi kullanıcıdan kullanıya göre fikirler değişiklik gösterebilir.,negative,ama tabii kullanıcıdan kullanıcıya göre fikirler değişiklik gösterebilir .
5580,bu parfüm herkese hitap edebilecek türden değil. yorumlar genelde olumlu fakat bence koku cok ağır ve sıradan. başka koku denenmeli.,negative,bu parfüm herkese hitap edebilecek türden değil . yorumlar genelde olumlu fakat bence kökü çok ağır ve sıradan . başka koku denenmeli .
5581,"yıllar önce kullanmıştım ve burada görünce fiyatınıda uygun bulup aldım,fakat kullanınca pek orjinali gibi durmadığını hissettim,çünkü bundan 14-15 yıl öncesi bu kokuyu kullandığımda kalıcılığı daha yüksekti,şimdiki alıp kullandığımı her gün hatta sabah akşam kullanıyorum hiç o eski tadı vermiyor.",negative,"yıllar önce kullanmıştım ve burada görünce fiyatını da uygun bulup aldım , fakat kullanınca pek orijinal gibi durmadığını hissettim , çünkü bundan 14-15 yıl öncesi bu kokuyu kullandığımda kalıcılığı daha yüksekti , şimdiki alıp kullandığımı her gün hatta sabah akşam kullanıyorum hiç o eski tadı vermiyor ."
5582,"kokusu idare eder ancak kalıcılık sorunuyla birlikte ancak çok fazla sıkılırsa kendini fark ettirir, 2 ayda bir şişeyi bitirdim bittide kurtuldum bidaha da almam bu parfümü.",negative,"kokusu idare eder ancak kalıcılık sorunuyla birlikte ancak çok fazla sıkılırsa kendisini fark ettirir , 2 ayda bir şişeyi bitirdim bittide kurtuldum bir daha da almam bu parfümü ."
5583,"bu yorumlara bakmayın,o kadar ağam şaham bir parfüm değil,sadece kalıcı olan ve özel olmayan sıradan bir koku.ben ve çevremdekilerin çoğu beğenmedi",negative,"bu yorumlara bakmayın , o kadar ağam şahım bir parfüm değil , sadece kalıcı olan ve özel olmayan sıradan bir koku . ben ve çevremdekilerin çoğu beğenmedi"
5584,ürünü hepsiburadadan yorumlara bakarak aldım...öncelikle gördügüm en kalıcı parfüm..sadece 1 fıs sıkıp iade etmeme ragmen 15 gündür kazagımda kokuyor...kokusu az biraz hosuma gitse iade etmezdim ama resmen silgi kokusu..zevkler ve renkler tartısılmaz diye bosuna söylememişler cünkü aklım almadı bu kadar begenen olmasını...siz benim yaptıgım hatayı yapmayın denemeden almayın...,negative,ürünü hepsiburadadan yorumlara bakarak aldım ... öncelikle gördüğüm en kalıcı parfüm . . sadece 1 fiş sıkıp iade etmeme rağmen 15 gündür kazağımda kokuyor ... kokusu az biraz hoşuma gitse iade etmezdim ama resmen silgi kokusu . . zevkler ve renkler tartışılmaz diye boşuna söylememişler çünkü aklım almadı bu kadar beğenen olmasını ... siz benim yaptığım hatayı yapmayın denemeden almayın ...
5585,hepsiburadaya iademi kabul ettigi için tesekkürlerimi sunarım...,negative,hepsiburadaya iademi kabul ettiği için teşekkürlerimi sunarım ...
5586,"parfüm alırken  yorumlara göre almamak gerekli imiş, bir çok ürünü yorumlara bakarak aldım ama parfümde test etmekş kokuyu teninizle uyum sağlıyacak mı kontrol edip alınmalıymış tecrübe oldu benim için. kokuya gelince kalıcılığı dışında iyi olarak söyleyeceğim bir şey yok. bu arada kesinlikle anca kışın kullanılabilir bana göre, bir parfümeride tester lardan deneyim sonrav alım derim.",negative,"parfüm alırken yorumlara göre almamak gerekli imiş , bir çok ürünü yorumlara bakarak aldım ama parfümde test etmek kokuyu teninizle uyum sağlayacak mı kontrol edip alınılmalıymış tecrübe oldu benim için . kokuya gelince kalıcılığı dışında iyi olarak söyleyeceğim bir şey yok . bu arada kesinlikle anca kışın kullanılabilir bana göre , bir parfümeride testler liradan deneyim sonra alım derim ."
5587,etkinlikleri çocuğuma kolay geldi.spiral yerine kitap şeklinde olsaydı daha sağlam olurdu.fena değil,negative,etkinlikleri çocuğuma kolay geldi . spiral yerine kitap şeklinde olsaydı daha sağlam olurdu . fena değil
5588,"biraz daha özgün oyunlar bekliyordum, 2 şubat 2016 da yatağın üstünde zıplama oyunu var güldüm kimse bilmiyor bunları.2017 yılı olsa iyi olurdu 2016 geride kalmak üzre  saygılar",negative,"biraz daha özgün oyunlar bekliyordum , 2 şubat 2016 da yatağın üstünde zıplama oyunu var güldüm kimse bilmiyor bunları . 2017 yılı olsa iyi olurdu 2016 geride kalmak üzre saygılar"
5589,süper hızlı gonderim yazıyor henüz 1 gün sonra kargolandı,negative,süper hızlı gönderim yazıyor henüz 1 gün sonra kargolandı
5590,8 gb hafiza ilerde zor durum olabilir.bence j7 prime iyi bir secenek.,negative,8 gb hafıza ileride zor durum olabilir . bence j7 prime iyi bir seçenek .
5591,"telefon en başta iyi gelebilir ama sonrası... telefonu yaklaşık 1,5 senedir kullanıyorum, öncelikle hafızasından başlayayım, 8 gb dahili hafızası var telefonun, bunun 3,5 gb'a yakını sistem hafızası, yani size 4,5 gb'lık bir alan kalıyor, bu alan çok yetersiz bence, kısa sürede doluyor.telefonda 3-5 uygulama, bir miktar fotoğraf var ise telefon güncellemesini dahi yapamıyorsunuz. hafıza kartı takabilirsiniz ama pek etkili olduğunu söyleyemem. kamera çözünürlükleri rakamsal olarak yüksel ama kullanımda görüntü kalitesi o kadar da iyi değil. telefonun şarjı normal kullanımda yeterli süre götürüyor sizi. telefonun yan yüzeyleri(iyi muhafaza etmeme rağmen) 6. aydan sonra soyulmaya başladı. arada donma da yapıyor telefon. bu telefonun kaliteli kullanım ömrü 1 sene. sonrası için sıkıntılar kesilmiyor.",negative,"telefon en başta iyi gelebilir ama sonrası ... telefonu yaklaşık 1,5 senedir kullanıyorum , öncelikle hafızasından başlayayım , 8 gb dahili hafızası var telefonun , bunun 3,5 gb'a yakını sistem hafızası , yani size 4,5 gblik bir alan kalıyor , bu alan çok yetersiz bence , kısa sürede doluyor . telefonda 3-5 uygulama , bir miktar fotoğraf var ise telefon güncellemesini dahi yapamıyorsunuz . hafıza kartı takabilirsiniz ama pek etkili olduğunu söyleyemem . kamera çözünürlükleri rakamsal olarak yüksel ama kullanımda görüntü kalitesi o kadar da iyi değil . telefonun şarjı normal kullanımda yeterli süre götürüyor sizi . telefonun yan yüzeyleri ( iyi muhafaza etmeme rağmen ) 6. aydan sonra soyulmaya başladı . arada donma da yapıyor telefon . bu telefonun kaliteli kullanım ömrü 1 sene . sonrası için sıkıntılar kesilmiyor ."
5592,ürün ortalama ancak dahili hafıza en temel programları yükledikten ve otomatik güncellemeli yaptıktan hemen sonra doldu. yetersiz,negative,ürün ortalama ancak dahili hafıza en temel programları yükledikten ve otomatik güncellemeli yaptıktan hemen sonra doldu . yetersiz
5593,1.5 senedir kullanıyorum eğer almak istiyosaniz 8 gb dahili depolama olduğunu unutmayın. zaten yarısından fazlası sistemin anlamsız bir kısmı da kendi kendine gözüküyor.,negative,1.5 senedir kullanıyorum eğer almak istiyorsanız 8 gb dahili depolama olduğunu unutmayın . zaten yarısından fazlası sistemin anlamsız bir kısmı da kendi kendine gözüküyor .
5594,ram ve işlemci kalitesi olarak daha guzel markalar var. bence samsungun bütün serileri kötü hatta o yüzden puanım 1,negative,ram ve işlemci kalitesi olarak daha güzel markalar var . bence samsungun bütün serileri kötü hatta o yüzden puanım 1
5595,hepsiburada hizmet kalitesi ile bu telefonu alalı yaklaşık 1 ay oldu.önce kullanıp sonrasında faydalı olmak adına yorumumu eklemek istedim..tasarımı kullanımı kamerası şarj süresi ekran netliği vs açısından bir problem görmedim..arka kamera gayet güzel.ön kamera fena değil ancak!!! hafızanın 8 gb olması ve google play hizmetleri adında abuk subuk programların tlf hafızasını doldurmuş olarak gelmesi sizin indireceğiniz programlara büyük sorun teşkil ediyor..indirdiğiniz bir kaç küçük programdan sonra yeterli depolama alanı yok diyecektir..kısmen hafıza kartına taşısanızda yine dolu diyecektir..ikinci husus hoparlör gücü çok düşük yanınızda çalan tlf nu duymama imkanınız var tabi bu ortama göre değişir..bu konuda kesinlikle tavsiye etmiyorum..sonrasında pişman olmamak adına hafızası ve ses gücü yüksek bir tlf alın derim..,negative,hepsiburada hizmet kalitesi ile bu telefonu alalı yaklaşık 1 ay oldu . önce kullanıp sonrasında faydalı olmak adına yorumumu eklemek istedim . . tasarımı kullanımı kamerası şarj süresi ekran netliği vs açısından bir problem görmedim . . arka kamera gayet güzel . ön kamera fena değil ancak ! ! ! hafızanın 8 gb olması ve google play hizmetleri adında abuk subuk programların tlf hafızasını doldurmuş olarak gelmesi sizin indireceğiniz programlara büyük sorun teşkil ediyor . . indirdiğiniz bir kaç küçük programdan sonra yeterli depolama alanı yok diyecektir . . kısmen hafıza kartına taşımanızda yine dolu diyecektir . . ikinci husus hoparlör gücü çok düşük yanınızda çalan tlf nu duymama imkanınız var tabii bu ortama göre değişir . . bu konuda kesinlikle tavsiye etmiyorum . . sonrasında pişman olmamak adına hafızası ve ses gücü yüksek bir tlf alın derim . .
5596,alın alın fiyatı telefona göre çok uygun. telefonun özellikleri benim eski telefonumdan (s3 mini) sonra çok etkileyici geldi. bazı özellikleri gerçekten çok değişik eminim bu telefon size zevk verecektir. telefon pro :) ,negative,alın alın fiyatı telefona göre çok uygun . telefonun özellikleri benim eski telefonumdan ( s3 mini ) sonra çok etkileyici geldi . bazı özellikleri gerçekten çok değişik eminim bu telefon size zevk verecektir . telefon pro :)
5597,i̇nadına 1 yıldız verdim siz ona bakmayın 5 yıldızlık telefon.,negative,inadına 1 yıldız verdim siz ona bakmayın 5 yıldızlık telefon .
5598,ben bu kamışı aldım ve 5-6 kere avlandım 1 kiloluk balığı bile kaldırmadı.ortadan ikiye kırıldı.şu ana kadar kullandığım en kötü kamış.şimdi ise shimano aldım fiyat az yüksek ama hem rahat hem sağlam.daha bugün 2 kiloluk balığı iskeleye attım banamısın demedi.yani bu remixon kamışı eşittir sıfır 0,negative,ben bu kamışı aldım ve 5-6 kere avlandım 1 kiloluk balığı bile kaldırmadı . ortadan ikiye kırıldı . şu ana kadar kullandığım en kötü kamış . şimdi ise Shima'nı aldım fiyat az yüksek ama hem rahat hem sağlam . daha bugün 2 kiloluk balığı iskeleye attım bana mısın demedi . yani bu Remix'in kamışı eşittir sıfır 0
5599,85 kiloyum kosarken takiliyo pismanlik,negative,85 kiloyum koşarken takılıyor pişmanlık
5600,"koşarken durduk yere duruyor, 90 kiloyu taşımakta zorlanıyor olabilir, biraz daha fazla verip daha iyisini almak faydalı olacağını düşünüyorum.",negative,"koşarken durduk yere duruyor , 90 kiloyu taşımakta zorlanıyor olabilir , biraz daha fazla verip daha iyisini almak faydalı olacağını düşünüyorum ."
5601,"ürün iyi, kalite düzeyi evde kullanılabilecek seviyede. gürültü çıkarmasından çekiniyordum, ancak rahatsız edecek bir sesi yok. ",negative,"ürün iyi , kalite düzeyi evde kullanılabilecek seviyede . gürültü çıkarmasından çekiniyordum , ancak rahatsız edecek bir sesi yok ."
5602,iki gün içerisinde elime ulaştı bu da beni memnun etti.,negative,iki gün içerisinde elime ulaştı bu da beni memnun etti .
5603,"yalnız takıldığım bir şey var, normal zamanda biraz hızlanarak bir yere gittiğimde hemen hamlıyordum ya da spor için yürüyüşe çıktığımda ikinci gün yürümeye gücüm olmayacak kadar hamlıyordum. koşu bandında hamlamadım ",negative,"yalnız takıldığım bir şey var , normal zamanda biraz hızlanarak bir yere gittiğimde hemen hamlıyordum ya da spor için yürüyüşe çıktığımda ikinci gün yürümeye gücüm olmayacak kadar hamlıyordum . koşu bandında hamlamadım"
5604,cok büyük heyecanla aldık fakat ilk olarak görüntü kalitesi cok düşük !! içindekilerde normal!! verdigim paraya karşılık değil bence!!,negative,çok büyük heyecanla aldık fakat ilk olarak görüntü kalitesi çok düşük ! ! içindekilerde normal ! ! verdiğin paraya karşılık değil bence ! !
5605,ürünü bikaçğündür kullanıyorum fena değil menüsü yüzde elli inğilizce inğilizce bilmeyenler bence almasınlar..,negative,ürünü bikaçğündür kullanıyorum fena değil menüsü yüzde elli ingilizce ingilizce bilmeyenler bence almasınlar . .
5606,ürünün türkçe dil desteği eksik menülerin yarısı türkçe yarısı i̇ngilizce. dil çevirisi programını yapan arkadaşlar bir güncelleme ile türkçe dil desteğini eksiksiz hale getirirlerse iyi olur. batarya ve kamerasi da bana pek tatmin edici gelmedi. tasarım ve incelik ekran parlaklığı performans fena değil. redimi 3 tercih ederim.,negative,ürünün türkçe dil desteği eksik menülerin yarısı türkçe yarısı İngiliz'ce . dil çevirisi programını yapan arkadaşlar bir güncelleme ile türkçe dil desteğini eksiksiz hale getirirlerse iyi olur . batarya ve kamerası da bana pek tatmin edici gelmedi . tasarım ve incelik ekran parlaklığı performans fena değil . rejimi 3 tercih ederim .
5607,"5 gündür kullanıyorum güzel bir kasası var hafif de aynı zamanda, kamerası da çok güzel. fakat takılma olmamasına ragmen 2 gb ön belleği hissettirmiyor. hafif ısınma farkettim. ekranı çabuk çiziliyor özenli kullanmak gerekir. ya benim telde sıkıntılar var ya da şarjı beklediğimden daha kısa sürede bitiyor. arka kamerasının yerleştiriminde fabrikasyon hatası olduğunu düşünüyorum üst tarafında hafif cıkıntı alt tarafında hafif batma var. beni bu rahatsız etmediği için garantiyle uğraşmak istemedim.",negative,"5 gündür kullanıyorum güzel bir kasası var hafif de aynı zamanda , kamerası da çok güzel . fakat takılma olmamasına rağmen 2 gb ön belleği hissettirmiyor . hafif ısınma farkettim . ekranı çabuk çiziliyor özenli kullanmak gerekir . ya benim telde sıkıntılar var ya da şarjı beklediğimden daha kısa sürede bitiyor . arka kamerasının yerleştiriminde fabrikasyon hatası olduğunu düşünüyorum üst tarafında hafif çıkıntı alt tarafında hafif batma var . beni bu rahatsız etmediği için garantiyle uğraşmak istemedim ."
5608,üst versiyonlarını merak ediyorum ama bu tel fiyat performans açısından bir süreliğine idareten alınabilir. ,negative,üst versiyonlarını merak ediyorum ama bu tel fiyat performans açısından bir süreliğine idareten alınabilir .
5609,çin iphone'u diyenlere 4c iphone'un yanından geçemez derim.,negative,çin iphone'u diyenlere 4c iphone'un yanından geçemez derim .
5610,5 tane sıradan uygulama ile ( ki bunlar oyun falan değil whatssap google çeviri ingilizce sözlük ) ısınıyor. yorumlarda ısınma sorunu yok dediler inandık. telefon arasıra 5-6 saniyelik donmalar yapıyor. kutu içinde kulaklık yok uyduruk bir şarj aleti çeviricisi koymuşlar. aklınız varsa almayın derim,negative,5 tane sıradan uygulama ile ( ki bunlar oyun falan değil whatsapp google çeviri ingilizce sözlük ) ısınıyor . yorumlarda ısınma sorunu yok dediler inandık . telefon arasıra 5-6 saniyelik donmalar yapıyor . kutu içinde kulaklık yok uyduruk bir şarj aleti çeviricisi koymuşlar . aklınız varsa almayın derim
5611,"etkisi maalesef yok 10 seanstır kullanmaktayım fakat hiçbir etkisini göremedim.killarim oldugu gibi çıkıyor.ürunu iade edeceğim.urunu alırken olumlu yorumlara bakarak aldim fakat sunu gördüm ki olumsuz yorumları yayınlamiyorlar,siliyorlar, olumlu yorum yapanlarında duzmece oyun olduğunu düşünüyorum, paranızı çöpe atmayın derim",negative,"etkisi maalesef yok 10 seanstır kullanmaktayım fakat hiçbir etkisini göremedim . kıllarım olduğu gibi çıkıyor . ürünü iade edeceğim . ürünü alırken olumlu yorumlara bakarak aldım fakat şunu gördüm ki olumsuz yorumları yayınlamıyorlar , siliyorlar , olumlu yorum yapanlarında düzmece oyun olduğunu düşünüyorum , paranızı çöpe atmayın derim"
5612,bildiğin jilet işte..,negative,bildiğin jilet işte . .
5613,eşime aldım ve çok memnun kaldı çok iyi ürün,negative,eşime aldım ve çok memnun kaldı çok iyi ürün
5614,yüz boyun kısmı için uygun değil alacaklar dikkat etsin,negative,yüz boyun kısmı için uygun değil alacaklar dikkat etsin
5615,kesinlikle hayal kırıklığı gidin vücudunuzu jilet ile alın daha iyi . boşuna paranızı çöpe atmayın,negative,kesinlikle hayal kırıklığı gidin vücudunuzu jilet ile alın daha iyi . boşuna paranızı çöpe atmayın
5616,erkek olarak daha kolay yol varmi diye kullanip denemek istedim. fakat hassas olani aldigim halde cok yanma hissi ile karsilastim. jilet en iyisi. acidan gectim tum ugrasilar klasik yontemden daha zor.,negative,erkek olarak daha kolay yol var mı diye kullanıp denemek istedim . fakat hassas olanı aldığım halde çok yanma hissi ile karşılaştım . jilet en iyisi . acıdan geçtim tüm uğrasılar klasik yöntemden daha zor .
5617,paranız yazık almayın.. en ucuz ağda bunda iyidir. bal kıvamına gelince heryere bulasıyor ağda gıbı degıl yaısan maske gibi ama hiçbir işlevi yok 2kez kullanmaya calıstım kutuyu dırek çöpe attım..,negative,paranız yazık almayın . . en ucuz ağda bunda iyidir . bal kıvamına gelince heryere bulaşıyor ağda gibi değil yarışan maske gibi ama hiçbir işlevi yok kez kullanmaya çalıştım kutuyu direk çöpe attım . .
5618,"ürünün sarjı kısa sürede bitiyor ve işiniz yarıda kalıyor. şarj aleti takılıyken de kesinlikle çalışmıyor. yani şarjı bitse bile, şarj aletini takıp kullanırım diyemiyorsunuz malesef. islak kullanımı var ancak pek bir faydasını göremedim. suyun altında kullanmak bence daha zor. geniş başlıklı olması güzel. braun kalitesine güvenerek almıştım ancak, şarjının çok çabuk bitmesi beni hayal kırıklığına uğrattı. ",negative,"ürünün şarj kısa sürede bitiyor ve işiniz yarıda kalıyor . şarj aleti takılıyken de kesinlikle çalışmıyor . yani şarjı bitse bile , şarj aletini takıp kullanırım diyebilmiyorsunuz maalesef . ıslak kullanımı var ancak pek bir faydasını göremedim . suyun altında kullanmak bence daha zor . geniş başlıklı olması güzel . braun kalitesine güvenerek almıştım ancak , şarjının çok çabuk bitmesi beni hayal kırıklığına uğrattı ."
5619,i̇şlevsellik anlamında bana pek hitap etmiyor. bu fiyata daha iyisi alınabilir.,negative,işlevsellik anlamında bana pek hitap etmiyor . bu fiyata daha iyisi alınabilir .
5620,lazere gitdigim için cımbız ve ağda kullanmak yasak kas arası ve bıyık bölgesini kisilmak için almıştım reklamlarda cok iyi bir ürün sandım ama hiç bir faydasını göremedim kesmiyor kisaltmiyor,negative,lazere girdiğim için cımbız ve ağda kullanmak yasak kaş arası ve bıyık bölgesini kısılmak için almıştım reklamlarda çok iyi bir ürün sandım ama hiç bir faydasını göremedim kesmiyor kısaldırmıyor
5621,almıyor sadece kısaltıyor hic kimseye tavsiye etmem.,negative,almıyor sadece kısaldırıyor hiç kimseye tavsiye etmem .
