id,texts,labels,PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,KEYWORDS_PREPROCESSED_texts,KEYWORDS_texts
4850,gece lambasi olarak iyi sadece kendini aydinlatiyor,negative,gece lambası olarak iyi sadece kendini aydınlatıyor,29,[],[]
4851,"gece melatonin hormonu üretimini en az engelleyen kırmızı ışık,  en fazla engelleyen ise mavi ışıktır. vücudun dengesini bozmamak için gece lambası kırmızı renk olmalı.",negative,gece melatonin hormonu üretimini en az engelleyen kırmızı ışık en fazla engelleyen ise mavi ışıktır vücudun dengesini bozmamak için gece lambası kırmızı renk olmalı,18,"[('fazla engelleyen', 4.0)]","[('vücudun dengesini bozmamak', 9.0), ('fazla engelleyen', 4.0), ('mavi ışıktır', 4.0)]"
4852,olumsuz yorumların hepsi doğru.,negative,olumsuz yorumların hepsi doğru,39,"[('olumsuz yorumların', 4.0), ('doğru', 1.0)]","[('olumsuz yorumların', 4.0), ('doğru', 1.0)]"
4853,yeşil renk yok ve ürünü taktıktan yaklaşık 5-10 dakika sonra adaptör yandı. ürünü çöpe attım bile almanızı tavsiye etmem.,negative,yeşil renk yok ve ürünü taktıktan yaklaşık dakika sonra adaptör yandı ürünü çöpe attım bile almanızı tavsiye etmem,46,"[('yeşil renk yok', 9.0)]","[('yeşil renk yok', 9.0)]"
4854,urun hemen ulasti .urun renkleri fena degil.ama adaptörü takar takmaz pist diye uçtu gitti.  yenisini bulursam calistiracagim yoksa çöpe,negative,ürün hemen ulaştı ürün renkleri fena dağılama adaptörü takar takmaz pist diye uçtu gitti yenisini bulursam çalıştıracağım yoksa çöpe,42,[],"[('urun hemen ulasti', 9.0), ('uçtu gitti', 4.0)]"
4855,yeşil renk yok  ve kumandadaki renkler tam yanmıyor ,negative,yeşil renk yok ve kumandadaki renkler tam yanmıyor,45,"[('yeşil renk yok', 9.0)]","[('yeşil renk yok', 9.0)]"
4856,ürünü elime aldığımda paketi açık idi. i̇çerisinde helen adaptörü fişe taktığım anda patlama sesi geldi. yerine aynı değerlerde (12v 2amper) bir başka adaptör taktığımda kumanda algılayıcısının çalışmadığını farkettim. ,negative,ürünü elime aldığımda paketi açık idi içerisinde helen adaptörü fişe taktığım anda patlama sesi geldi yerine aynı değerlerde v amper bir başka adaptör taktığımda kumanda algılayıcısının çalışmadığını farkettim,33,[],"[('yerine aynı değerlerde', 9.0), ('12v 2amper', 4.0)]"
4857,kısacası kesinlikle alamayız gereken bir ürün. ,negative,kısacası kesinlikle alamayız gereken bir ürün,10,"[('ürün', 1.0)]","[('ürün', 1.0)]"
4858,aldim 5-6 hafta sonra bütün işiklar söndü.malesef bi̇r daha gelmedi̇.kaldirim bi̇r kenara koydum,negative,aldım hafta sonra bütün ışıkları söndümalesef bir daha gelmedi̇kaldirim bir kenara koydum,13,"[('kenara koydum', 4.0), ('gelmedi̇kaldirim', 1.0)]","[('malesef bi̇r', 4.0), ('gelmedi̇', 1.0)]"
4859,"ürünü özellikle beyaz led ışığı kullanmak için almıştım ancak beyaz ışık kesinlikle yanmıyor, beyaz tuşuna bastığımda da kırmızı/mavi/yeşil renkler yandı. malesef iade etmek durumunda kaldım, iade sürecinde hiç sorun yaşamadım param aynı gün hesabıma yattı.. yine de teşekkürler hepsiburada.com:)",negative,ürünü özellikle beyaz led ışığı kullanmak için almıştım ancak beyaz ışık kesinlikle yanmıyor beyaz tuşuna bastığımda da kırmızımaviyeşil renkler yandı maalesef iade etmek durumunda kaldım iade sürecinde hiç sorun yaşamadım param aynı gün hesabıma yattı yine de teşekkürler Hepsiburada'cım,22,"[(""teşekkürler hepsiburada'cım"", 4.0)]","[('beyaz tuşuna bastığımda', 9.0), ('kırmızı/mavi/yeşil renkler yandı', 9.0), ('iade sürecinde', 4.0), ('teşekkürler hepsiburada', 4.0), ('yine', 1.0), ('com', 1.0)]"
4860,gizli ışık olarak tavanda spotlu bir asma göbek yapıp bu ledi de içine sakladım. lakin öyle diğer ledler gibi kuvetli değil.  tavanda ki yansıması ve renk geçişlerinin yaydığı ışık kuvveti malesef iyi değil. bazı arkadaşlar akvaryum için falan demiş bence uygun olur. ama tavandaki duruşu hoşuma gitmedi. beyaz renk direk olarak yok. bir arkadaşımın da dediği gibi yansıması beyaz görünüyor. mavi yeşil kırmızı gibi direk değil yani.,negative,gizli ışık olarak tavanda spotlu bir asma göbek yapıp bu ledi de içine sakladım lakin öyle diğer ledler gibi kuvvetli değil tavanda ki yansıması ve renk geçişlerinin yaydığı ışık kuvveti maalesef iyi değil bazı arkadaşlar akvaryum için falan demiş bence uygun olur ama tavandaki duruşu hoşuma gitmedi beyaz renk direk olarak yok bir arkadaşımın da dediği gibi yansıması beyaz görünüyor mavi yeşil kırmızı gibi direk değil yani,12,"[('asma göbek yapıp', 9.0), ('kuvvetli değil tavanda', 8.5), ('direk değil', 4.5), ('ledi', 1.0), ('yansıması', 1.0), ('arkadaşımın', 1.0), ('dediği', 1.0)]","[('asma göbek yapıp', 9.0), ('bazı arkadaşlar akvaryum', 9.0), ('mavi yeşil kırmızı', 9.0), ('yansıması beyaz görünüyor', 8.0), ('içine sakladım', 4.0), ('kuvetli değil', 4.0), ('direk değil', 4.0), ('yansıması', 2.0), ('ledi', 1.0), ('tavanda', 1.0)]"
4861,adaptöre taktığımızda çalışmadı başka bir kablo ile çalıştırabildim.beyaz da sadece beyaz yanmıyor.ev için uygun değil,negative,adaptöre taktığımızda çalışmadı başka bir kablo ile çalıştırabildimbeyaz da sadece beyaz yanmıyorev için uygun değil,45,"[('sadece beyaz yanmıyorev', 9.0), ('uygun değil', 4.0), ('kablo', 1.0), ('çalıştırabildimbeyaz', 1.0)]","[('sadece beyaz yanmıyor', 8.0), ('uygun değil', 4.0), ('beyaz', 2.0), ('kablo', 1.0), ('çalıştırabildim', 1.0)]"
4862,avizeyi bugun aldim ama fiyatina gore normal.ama avize sapkasi oldugu icin isigi tam yansitmiyor.los bir ortam oldu.ben begenmedim,negative,avizeyi bugün aldım ama fiyatına göre normalıma avize şapkası olduğu için ışığı tam yansıtmıyorlos bir ortam öldüren beğenmedim,47,"[('avizeyi bugün aldım', 9.0), ('ışığı tam yansıtmıyorlos', 9.0), ('ortam öldüren beğenmedim', 9.0)]","[('avizeyi bugun aldim', 9.0), ('fiyatina gore normal', 9.0), ('ortam oldu', 4.0), ('los', 1.0), ('begenmedim', 1.0)]"
4863,3w aydınlatma için çok yetersiz tatmin edici değil maalesef.,negative,w aydınlatma için çok yetersiz tatmin edici değil maalesef,31,"[('w aydınlatma', 4.0)]","[('3w aydınlatma', 4.0)]"
4864,"urunu almadim ama bizzat inceleme sansim oldu. i̇cinde 4000ma kuru aku bulunmakta. usb cikisi 0,5 ma. aku kucuk sarj hizi yetersiz. sadece aydinlatma icin uygun olabilir. gunes panelini florasana tuttum sarj oluyor isigi yandi. o yuzden guvenemedim. ",negative,ürünü almadım ama bizzat inceleme şansım oldu içinde ma kuru akü bulunmakta usb çıkışıma akü küçük şarj hızı yetersiz sadece aydınlatma için uygun olabilir güneş panelini florlaşana tuttu şarj oluyor ışığı yandı o yüzden güvenemedim,40,"[('ürünü almadım', 4.0)]","[('o yuzden guvenemedim', 9.0), ('urunu almadim', 4.0), ('usb cikisi 0', 4.0), ('5 ma', 1.0)]"
4865,ürünü masa altına asmak için aldım ancak yapışkanlar o kadar kuvvetli değil.ingilterede prizlerin tiplerinden dolayı bu tür ürünler çok eskilerden bu yana mevcut ancak bizim ülkemizdeki eu type prizler yüzünden bizde tasarlayan olmamıştı daha önce veya düşünülmüş ancak uygulanmış olabilir fakat fiyat olarak indirim zamanı aldığımdan içim rahat sadece iki tane sipariş verdim ancak kutuları ve içleri birbirinden farklı neden anlamadım.,negative,ürünü masa altına aşmak için aldım ancak yapışkanlar o kadar kuvvetli değilingilterede prizlerin tiplerinden dolayı bu tür ürünler çok eskilerden bu yana mevcut ancak bizim ülkemizdeki eu type prizler yüzünden bizde tasarlayan olmamıştı daha önce veya düşünülmüş ancak uygulanmış olabilir fakat fiyat olarak indirim zamanı aldığımdan içim rahat sadece iki tane sipariş verdim ancak kutuları ve içleri birbirinden farklı neden anlamadım,32,"[('yana mevcut ancak', 9.0), ('içleri birbirinden farklı', 9.0), ('tür ürünler', 4.0), ('eskilerden', 1.0), ('önce', 1.0), ('anlamadım', 1.0)]","[('yana mevcut ancak', 9.0), ('içleri birbirinden farklı', 9.0), ('tür ürünler', 4.0), ('eskilerden', 1.0), ('önce', 1.0), ('anlamadım', 1.0)]"
4866,yapışkanlar ürünü resimdeki gibi tutmuyor. takılan fişlerin ağırlığı ile birlikte bir süre sonra yer çekimine yenik düşüyor,negative,yapışkanlar ürünü resimdeki gibi tutuyor takılan fişlerin ağırlığı ile birlikte bir süre sonra yer çekimine yenik düşüyor,6,"[('yapışkanlar ürünü resimdeki', 9.0), ('birlikte', 1.0)]","[('yapışkanlar ürünü resimdeki', 9.0), ('takılan fişlerin ağırlığı', 9.0), ('tutmuyor', 1.0), ('birlikte', 1.0)]"
4867,beklediğim kadar güzel değil. çok amatörce kurmak söylendiği gibi kolay değil. ancak bu paraya da bu kadar sanki ,negative,beklediğim kadar güzel değil çok amatörce kurmak söylendiği gibi kolay değil ancak bu paraya da bu kadar sanki,25,"[('amatörce kurmak söylendiği', 9.0), ('kolay değil ancak', 9.0), ('paraya', 1.0), ('kadar', 1.0)]","[('amatörce kurmak söylendiği', 9.0), ('kolay değil', 4.0), ('ancak', 1.0), ('paraya', 1.0), ('kadar', 1.0)]"
4868,kutu üzeri̇nde hangi̇ ci̇hazlarda çaliştiğini gösteren bi̇lgi̇ler var. bende macbookda çaliştiği i̇çi̇n aldim ama uygulama yok. emi̇n olmak i̇çi̇n tekni̇k servi̇si̇ arayip sordum. mac de çalişmadiğini söyledi̇ler. mac kullananlar kamerayi bi̇lgi̇sayara bağlayamiyor,negative,kutu üzerinde hangi cihazlarda çalıştığını gösteren bi̇lgi̇ler var bende Macbook'a çalıştığı i̇çi̇n aldım ama uygulama yok emin olmak i̇çi̇n teknik servi̇si̇ arayıp sordum mac de çalışmadığını söylediler maç kullananlar kamerayı bi̇lgi̇sayara bağlayamıyor,17,[],"[('uygulama yok', 4.0), ('çalişmadiğini söyledi̇ler', 4.0), ('mac', 1.0)]"
4869,ürün belirtilen özelliklerde degil...yüklenen proğramları çok yetersiz ve kullanışsız bir ürün..,negative,ürün belirtilen özelliklerde degilyüklenen programları çok yetersiz ve kullanışsız bir ürün,11,"[('yetersiz', 1.0), ('kullanışsız', 1.0), ('ürün', 1.0)]","[('yüklenen proğramları', 4.0), ('yetersiz', 1.0), ('kullanışsız', 1.0), ('ürün', 1.0)]"
4870,bilgisayardan ve mobil uygulamasından çalıştırmayı denedim ancak çalışmıyor. 5 dakika da kurulum hikayesi tamamen fiyasko. ürünü kendim kuramadığımı düşünüp teknik servisi aradım söyledikleri şekilde defalarca kez tekrar kurdum çalışmıyor.  ürünün alt kısmındaki şifre yanlış olduğundan cihazı çalıştıramıyoruz! wifi bağlantısını da sağlayamıyorsunuz! youtube üzerinden de videosunu izlemiştim. oradaki yorumları da dikkate alın. ben alırken oradaki yorumları okumamıştım! çok kötü arkadaşlar ! önermiyorum ! siz de pişman olmayın!!,negative,bilgisayardan ve mobil uygulamasından çalıştırmayı denedim ancak çalışmıyor dakika da kurulum hikayesi tamamen fiyasko ürünü kendim kuramadığımı düşünüp teknik servisi aradım söyledikleri şekilde defalarca kez tekrar okudum çalışmıyor ürünün alt kısmındaki şifre yanlış olduğundan cihazı çalıştıramıyoruz wifi bağlantısını da sağlayamıyorsunuz youtube üzerinden de videosunu izlemiştim oradaki yorumları da dikkate alın ben alırken oradaki yorumları okumamıştım çok kötü arkadaşlar önermiyorum siz de pişman olmayın,38,"[('sağlayamıyorsunuz youtube üzerinden', 9.0), ('kötü arkadaşlar önermiyorum', 9.0), ('dikkate alın', 4.0), ('pişman olmayın', 4.0), ('bilgisayardan', 1.0)]","[('tekrar kurdum çalışmıyor', 9.0), ('wifi bağlantısını', 4.0), ('youtube üzerinden', 4.0), ('videosunu izlemiştim', 4.0), ('oradaki yorumları', 4.0), ('dikkate alın', 4.0), ('kötü arkadaşlar', 4.0), ('pişman olmayın', 4.0), ('bilgisayardan', 1.0), ('5 dakika', 1.0)]"
4871,işlemcisi çok yavaş wife ye bağlanana kadar aksiyon kaçıyor,negative,işlemcisi çok yavaş wife ye bağlanana kadar aksiyon kaçıyor,30,"[('işlemcisi', 1.0)]","[('işlemcisi', 1.0)]"
4872,cloud hesabına kayıt özelliği var denilmesine rağmen bütün araştırmalarım sonucunda anladım ki bulut hesabına kayıt özelliği ya henüz aktif edilmedi yada öyle bir şey yok. uzaktan izleyebiliyorsunuz fakat kaydetmek için bilgisayarınıza veya telefonunuza ihtiyacınız var. i̇zlemek ve kayıt etmek için devamlı bilgisayarınızın aktif bir i̇nternet bağlantısı olması gerekiyor. bilgisayarınız ve telefonunuzda i̇nternet bağlantınız olmazsa kayıt yapma imkanınız yok. güzel ve  kullanışlı bir ürün fakat kayıt konusunda yeterli bir ürün değil. karar verirken bunu göz önünde bulundurun.,negative,cloud hesabına kayıt özelliği var denmesine rağmen bütün araştırmalarım sonucunda anladım ki bulut hesabına kayıt özelliği ya henüz aktif edilmedi yada öyle bir şey yok uzaktan izleyebiliyorsunuz fakat kaydetmek için bilgisayarınıza veya telefonunuza ihtiyacınız var izlemek ve kayıt etmek için devamlı bilgisayarınızın aktif bir İnternet bağlantısı olması gerekiyor bilgisayarınız ve telefonunuzda İnternet bağlantınız olmazsa kayıt yapma imkanınız yok güzel ve kullanışlı bir ürün fakat kayıt konusunda yeterli bir ürün değil karar verirken bunu göz önünde bulundurun,31,"[('devamlı bilgisayarınızın aktif', 9.0), ('göz önünde bulundurun', 9.0), ('kayıt etmek', 4.0), ('bilgisayarınıza', 1.0), ('kullanışlı', 1.0)]","[('telefonunuza ihtiyacınız var', 9.0), ('devamlı bilgisayarınızın aktif', 9.0), ('göz önünde bulundurun', 9.0), ('şey yok', 4.0), ('kayıt etmek', 4.0), ('ürün değil', 4.0), ('karar verirken', 4.0), ('bilgisayarınıza', 1.0), ('i̇zlemek', 1.0), ('bilgisayarınız', 1.0)]"
4873,"wireless ını bir türlü aktif edemedim, kameranın görünteleme şifresi de değişmiyor, donanım iyi yazılım kötü",negative,wireless ini bir türlü aktif edemedim kameranın görüntüleme şifresi de değişmiyor donanım iyi yazılım kötü,19,"[('wireless ini', 4.0)]","[('türlü aktif edemedim', 9.0), ('kameranın görünteleme şifresi', 9.0), ('wireless ını', 4.0), ('değişmiyor', 1.0)]"
4874,ürün yazılımı eski reklamındaki özellikler kullanılamıyor . sses ve hareket alarmını maille iletme vs,negative,ürün yazılımı eski reklamındaki özellikler kullanılamıyor ses ve hareket alarmını maille iletme vs,48,[],"[('sses', 1.0)]"
4875,ürün elime çok hızlı ulaştı. ses ve görüntü kalitesi çok iyi fakat anlık izleme için alınacak bir kamera. buluta veya hafıza kartına kayıt seçeneği yok malesef. sürekli bağlı kalıp izlerim diyenlere öneriririm onun dışında kayıt yapmak isterseniz yalnızca bilgisayar veya telefonunuzdan bağlı kalarak kayıt yapabiliyorsunuz buda büyük hayal kırıklığı.,negative,ürün elime çok hızlı ulaştı ses ve görüntü kalitesi çok iyi fakat anlık izleme için alınacak bir kamera buluta veya hafıza kartına kayıt seçeneği yok maalesef sürekli bağlı kalıp izlerim diyenlere önerdiririm onun dışında kayıt yapmak isterseniz yalnızca bilgisayar veya telefonunuzdan bağlı kalarak kayıt yapabiliyorsunuz buda büyük hayal kırıklığı,22,"[('hızlı ulaştı ses', 9.0), ('ürün elime', 4.0), ('görüntü kalitesi', 4.0), ('kamera buluta', 4.0), ('alınacak', 1.0)]","[('ürün elime', 4.0), ('hızlı ulaştı', 4.0), ('görüntü kalitesi', 4.0), ('ses', 1.0), ('alınacak', 1.0), ('kamera', 1.0), ('buluta', 1.0)]"
4876,kesinlikle alınmayacak bir ürün. 7 adet aldım hepsini birden iade ettim. sebebine gelince,negative,kesinlikle alınmayacak bir ürün adet aldım hepsini birden iade ettim sebebine gelince,4,"[('kesinlikle alınmayacak', 4.0)]","[('kesinlikle alınmayacak', 4.0), ('sebebine gelince', 4.0), ('ürün', 1.0)]"
4877,"1 - ekranda yatay beyaz saydam şeritler var, ",negative,ekranda yatay beyaz saydam şeritler var,8,[],[]
4878,2 - aynı noktada mevcut olan ve kapının tamamına alan kameranın yerine koyuyorum kapının 5 te birini dahi almıyor. ben bu kadar dar açılı bir kamera görmdim. kesinlikle uzak durulmalı,negative,aynı noktada mevcut olan ve kapının tamamına alan kameranın yerine koyuyorum kapının te birini dahi almıyor ben bu kadar dar açılı bir kamera görmedim kesinlikle uzak durulmalı,8,"[('kadar dar açılı', 9.0), ('almıyor', 1.0)]","[('kadar dar açılı', 9.0), ('kesinlikle uzak durulmalı', 9.0), ('kamera görmdim', 4.0), ('almıyor', 1.0)]"
4879,kullanım kılavuzunda adı geçen yazılım ne appstore ne de google play store da mevcut değil. bu nedenle setup yapamadık. içinden çıkan cd ancak xp ve windows 7 gibi devri geçmiş versiyonları destekliyor. bu sebeple iade ettik ürünü,negative,kullanım kılavuzunda adı geçen yazılım ne appstore ne de google playstore da mevcut değil bu nedenle Setur yapamadık içinden çıkan cd ancak xp ve windows gibi devri geçmiş versiyonları destekliyor bu sebeple iade ettik ürünü,44,"[('google playstore', 4.0), ('mevcut değil', 4.0), ('appstore', 1.0), ('windows', 1.0)]","[('google play store', 9.0), ('nedenle setup yapamadık', 9.0), ('mevcut değil', 4.0), ('appstore', 1.0), ('windows 7', 1.0)]"
4880,ürün güzel.kullanımı kolay.fakat çok farklı fiyatlar var.aynı ürünün farklı versiyonlarımı var artık.yerli ürününde çakması yoktur sanırım.,negative,ürün güzelkullanımı kolayfakat çok farklı fiyatlar varanı ürünün farklı versiyonlarımı var artıkyerli ürününde çakması yoktur sanırım,49,"[('ürün güzelkullanımı kolayfakat', 9.0)]","[('farklı fiyatlar var', 9.0), ('ürün güzel', 4.0), ('kullanımı kolay', 4.0), ('fakat', 1.0)]"
4881,ürün çok kaliteli zaten honeywell markasını tartışmaya gerek yok ama viessmann marka kombime uyum sağlamadığı için iade etmek durumunda kaldım. ürün açıklamasına eklenirse benim gibi diğer kişilerde boşuna almış olmasın.,negative,ürün çok kaliteli zaten honeywell markasını tartışmaya gerek yok ama viessmann marka kombine uyum sağlamadığı için iade etmek durumunda kaldım ürün açıklamasına eklenirse benim gibi diğer kişilerde boşuna almış olmasın,12,"[('ürün', 1.0)]","[('ürün açıklamasına eklenirse', 8.0), ('ürün', 2.0)]"
4882,benim aradığım tam bu değldi.wi -fi alanı dışında akıllı prizi aç-kapa yapmak isterdim.,negative,benim aradığım tam bu değldiwi fi alanı dışında akıllı prizi açkapa yapmak isterdim,32,"[('aradığım tam', 4.0)]","[('aradığım tam', 4.0), ('değldi', 1.0)]"
4883,cihaz açık konumdayken elektrik kesilip tekrar gelirse cihaz kapalı konumda kalıyor.biraz bekleyip internet bağlantısını yapıyor ama tekrardan açılmıyor.bu en gerekli şey bence.bu durumda açılmadığı için hiçbir işime yaramıyor.sonuçta bu fiyat için bunun düşünülmemesi üzücü.2 tane aldım iade edeceğim.,negative,cihaz açık konumdayken elektrik kesilip tekrar gelirse cihaz kapalı konumda kalıyorbiraz bekleyip internet bağlantısını yapıyor ama tekrardan açılmıyordu en gerekli şey bencebu durumda açılmadığı için hiçbir işime yaramıyorsonuçta bu fiyat için bunun düşünülmemesi üzücü tane aldım iade edeceğim,15,"[('hiçbir işime yaramıyorsonuçta', 9.0), ('tekrardan açılmıyordu', 4.0), ('fiyat', 1.0)]","[('gerekli şey bence', 9.0), ('hiçbir işime yaramıyor', 9.0), ('tekrardan açılmıyor', 4.0), ('durumda açılmadığı', 4.0), ('düşünülmemesi üzücü', 4.0), ('sonuçta', 1.0), ('fiyat', 1.0)]"
4884,blutooth bağlantısı stabil değil.  ios 10 güncelleme sonrası program kendiliğinden kapanıyor.,negative,bluetooth bağlantısı stabil değil ios güncelleme sonrası program kendiliğinden kapanıyor,26,[],[]
4885,2009 yılından beri dark media player ürünlerini severek kullanmaktaydım ve çok sayıda arkadaşımın da kullanmasını sağladım. bu ürünü de televizyona bağlayıp 4k formatındaki filmleri izlemek amacıyla aldım ancak müthiş bir hayal kırıklığına uğradım. ,negative,yılından beri dark media player ürünlerini severek kullanmaktaydım ve çok sayıda arkadaşımın da kullanmasını sağladım bu ürünü de televizyona bağlayıp k formatındaki filmleri izlemek amacıyla aldım ancak müthiş bir hayal kırıklığına uğradım,38,"[('hayal kırıklığına uğradım', 9.0), ('sayıda arkadaşımın', 4.0), ('kullanmasını sağladım', 4.0), ('ürünü', 1.0)]","[('hayal kırıklığına uğradım', 9.0), ('sayıda arkadaşımın', 4.0), ('kullanmasını sağladım', 4.0), ('ürünü', 1.0)]"
4886,"ürün android telefon gibi çalışıyor, bilgisayarda dosya açar gibi filmleri açıyorsunuz ve filme tıkladığınızda size birkaç tane film oynatma uygulaması öneriyor. bunların biri dışında hiçbirinde altyazı koyma seçeneği yok, altyazı koyabildiğiniz oynatıcı ise yazıyı ekranın ortasına koyuyor. ",negative,ürün android telefon gibi çalışıyor bilgisayarda dosya açar gibi filmleri açıyorsunuz ve filme tıkladığınızda size birkaç tane film oynatma uygulaması öneriyor bunların biri dışında hiçbirinde altyazı koyma seçeneği yok altyazı koyabildiğiniz oynatıcı ise yazıyı ekranın ortasına koyuyor,47,"[('ürün android telefon', 9.0), ('filme tıkladığınızda size', 9.0), ('filmleri açıyorsunuz', 4.0)]","[('ürün android telefon', 9.0), ('bilgisayarda dosya açar', 9.0), ('filme tıkladığınızda size', 9.0), ('altyazı koyabildiğiniz oynatıcı', 9.0), ('filmleri açıyorsunuz', 4.0), ('çalışıyor', 1.0), ('bunların', 1.0)]"
4887,"filmleri kumanda ile kontrol etmek imkansız, çünkü kumandada stop, play ileri ve geri sarma düğmeleri yok. mutlaka bir wireless mouse bağlamanız ve onunla gerekli kontrolü sağlamanız gerekiyor. ",negative,filmleri kumanda ile kontrol etmek imkansız çünkü kumandada stop play ileri ve geri sarma düğmeleri yok mutlaka bir wireless mouse bağlamanız ve onunla gerekli kontrolü sağlamanız gerekiyor,28,"[('kontrol etmek imkansız', 9.0), ('wireless mouse bağlamanız', 9.0), ('filmleri kumanda', 4.0)]","[('kontrol etmek imkansız', 9.0), ('wireless mouse bağlamanız', 9.0), ('filmleri kumanda', 4.0), ('kumandada stop', 4.0), ('play ileri', 4.0), ('mutlaka', 1.0)]"
4888,dark teknik servisini aradım ve bana film oynatmak için google playstore'dan bsplayer ve vlc player indirmemi tavsiye ettim. bunlarda altyazı koyabiliyorsunuz ancak bu sefer de filmler takıla takıla oynuyor. ,negative,dark teknik servisini aradım ve bana film oynatmak için google play Store'den bsplayer ve vlç player indirmemi tavsiye ettim bunlarda altyazı koyabiliyorsunuz ancak bu sefer de filmler takıla takıla oynuyor,16,"[('film oynatmak', 4.0), ('sefer', 1.0)]","[(""google playstore'dan bsplayer"", 9.0), ('film oynatmak', 4.0), ('sefer', 1.0)]"
4889,sonuç olarak ürünü 4k media oynatmak için almayı düşünenler bir kez daha düşünmeli. ,negative,sonuç olarak ürünü k media oynatmak için almayı düşünenler bir kez daha düşünmeli,13,"[('almayı düşünenler', 4.0), ('düşünmeli', 1.0)]","[('almayı düşünenler', 4.0), ('düşünmeli', 1.0)]"
4890,"üründen memnun kalmadım, çok sorunlu bir cihaz, tavsiye etmiyorum.",negative,üründen memnun kalmadım çok sorunlu bir cihaz tavsiye etmiyorum,12,"[('üründen memnun kalmadım', 9.0), ('cihaz tavsiye etmiyorum', 9.0), ('sorunlu', 1.0)]","[('üründen memnun kalmadım', 9.0), ('tavsiye etmiyorum', 4.0), ('sorunlu', 1.0), ('cihaz', 1.0)]"
4891,cihazi ilk alanlardanim.cihazin goruntu kalitesi normal  cok iyi degil kumandasi piyasadaki yedek kumandalar gibi vasat kalitede. acelece piyasaya surulmus bir cihaz goruntude takilmalar var tavsiye etmiyorum.,negative,cihazı ilk alanlardanımcıhazın görüntü kalitesi normal çok iyi değil kumandası piyasadaki yedek kumandalar gibi vasat kalitede acelece piyasaya sürülmüş bir cihaz görüntüde takılmalar var tavsiye etmiyorum,49,[],"[('cihazi ilk alanlardanim', 9.0), ('acelece piyasaya surulmus', 9.0), ('vasat kalitede', 4.0)]"
4892,goldmaster olarak teknolojiyi tüketicilerden kıskanma huyunuz değişmiyor malesef :(,negative,goldmaster olarak teknolojiyi tüketicilerden kıskanma huyunuz değişmiyor maalesef,13,[],[]
4893,en azından android versiyonu 4.2 den yukarı olsaydı ,negative,en azından android versiyonu den yukarı olsaydı,2,[],[]
4894,bellek 4 gb :(,negative,bellek gb,4,"[('bellek gb', 4.0)]","[('bellek 4 gb', 4.0)]"
4895,ram kapasitesini yazmamışsınız iyi ihtimalle 512mb dır 256 olmasından çok korktum ,negative,ram kapasitesini yazmamışsınız iyi ihtimalle mb dır olmasından çok korktum,10,"[('korktum', 1.0)]","[('korktum', 1.0)]"
4896,zamanında usb girişi olan 70000 serisi uydu alıcılarında mp3 müzik bile çalınamıyordu :d,negative,zamanında usb girişi olan serisi uydu alıcılarında mp müzik bile çalınamıyordu d,3,[],[]
4897,ve bu yüzden elinizde olan uydu alıcısı piyasasını kaybettiniz ,negative,ve bu yüzden elinizde olan uydu alıcısı piyasasını kaybettiniz,40,[],[]
4898,ders almamışsınız çok kötü :(,negative,ders almamışsınız çok kötü,20,"[('ders almamışsınız', 4.0), ('kötü', 1.0)]","[('ders almamışsınız', 4.0), ('kötü', 1.0)]"
4899,ürünü alıp iade ettim. çin yerel yayınlarına göre ayarlanmış. türkçeye çevirsenizde (tabiki türkçe mümkün değil) fark etmez. çindeki ulusal yayınları ve uygulamaları kullanmak isterseniz alabilirsiniz. google play yok harici olarak uygulama atabilirsiniz. xiaomi hesabı açmanız gerekir.,negative,ürünü alıp iade ettim çin yerel yayınlarına göre ayarlanmış türkçeye çevirseniz de tabii ki türkçe mümkün değil fark etmez çindeki ulusal yayınları ve uygulamaları kullanmak isterseniz alabilirsiniz google play yok harici olarak uygulama atabilirsiniz xiaomi hesabı açmanız gerekir,2,"[('tabii', 1.0)]","[('çindeki ulusal yayınları', 9.0), ('türkçeye çevirsenizde', 4.0), ('fark etmez', 4.0)]"
4900,-ürün 8mbs. ve üstü internet bağlantısında gayet hızlı ve karalı çalışıyor.,negative,ürün mbs ve üstü internet bağlantısında gayet hızlı ve karalı çalışıyor,45,"[('ürün mbs', 4.0), ('karalı çalışıyor', 4.0)]","[('-ürün 8mbs', 4.0), ('karalı çalışıyor', 4.0)]"
4901,"-biraz fazla ısınıyor, bunun önüne geçmek için; gövdesindeki mıknatısı kullanarak manyetik özelliği olan bir metale tutturulabilir.",negative,biraz fazla ısınıyor bunun önüne geçmek için gövdesindeki mıknatısı kullanarak manyetik özelliği olan bir metale tutturulabilir,36,"[('biraz fazla ısınıyor', 9.0), ('önüne geçmek', 4.0), ('metale tutturulabilir', 4.0)]","[('-biraz fazla ısınıyor', 9.0), ('önüne geçmek', 4.0), ('metale tutturulabilir', 4.0)]"
