id,texts,labels,PREPROCESSED_texts,SENTIMENT_PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,LANG_PREPROCESSED_texts
811,"pişirmesi güzel ancak, etlerde kullanılan tuz ve baharat eriyerek altta birikiyor. buda pişen etin tadını bozuyor. diğer ürünler üzerindeki etkisini bilmiyorum. çünkü yapmadım.",negative,pişirmesi güzel etlerde kullanılan tuz baharat eriyerek altta birikiyor buda pişen etin tadını bozuyor ürünler üzerindeki etkisini bilmiyorum yapmadım,negative,1,tr
812,hiç kullanışlı gelmedi bize. beklenti meselesi diye düşünüyorum. sızdırmazlık sıkıntı. ters çeviremiyorsunuz yağı biriktiren küçük bir kanal var. kısacası biz beğenmedik.,negative,kullanışlı gelmedi beklenti meselesi düşünüyorum sızdırmazlık sıkıntı ters çeviremiyorsunuz yağı biriktiren küçük kanal kısacası beğenmedik,negative,1,tr
813,"alüminyum tava, tencere sağlık bakımından çok zararlı ve zehirleyicidir. en iyisi demir döküm ve çeliktir.",negative,alüminyum tava tencere sağlık bakımından zararlı zehirleyicidir iyisi demir döküm çeliktir,negative,2,tr
814,"ürünü burada yapılan yorumlara bakarak almıştım, ilk denememiz tavuk pirz. oldu ve sonuç tam anlamıyla bir rezalet! ürünü çevirme esnasında yan tarafından olan yağı ocağa sızdırdı, her yer vıcık vıcık yağ oldu, sızan yağlar tavanın kendi altına da sızdı ve çatır çatır yanmaya başladı, yemeği bıraktık temizlikle uğraştık, mecburen çevirme işinden vazgeçip elimle tek tek çevirdim yarım saatte pişirdi, gayet yumuşak ve lezzetliydi ancak bana gelen ürün mü hatalı yoksa genel bir hata mı çevirirken silikonlardan yağ sızıyor değişim talep ettim gelen üründe böyle olursa meşhur şikayet sitelerine yazarım. h.b ürünü çok hızlı bir şekilde gönderdi teşekkürler.",negative,ürünü yorumlara bakarak almıştım ilk denememiz tavuk priz sonuç anlamıyla rezalet ürünü çevirme esnasında yan yağı ocağa sızdırdı yer vıcık vıcık yağ sızan yağlar tavanın altına sizdi çatır çatır yanmaya başladı yemeği bıraktık temizlikle uğraştık mecburen çevirme işinden vazgeçip elimle tek tek çevirdim yarım saatte pişirdi gayet yumuşak lezzetliydi gelen ürün hatalı genel hata çevirirken silikonlardan yağ sızıyor değişim talep ettim gelen üründe meşhur şikayet sitelerine yazarım hb ürünü hızlı gönderdi teşekkürler,negative,0,tr
815,fiş toprak lı değil gevşek kalıyor  birazda erken  ısınıyor ,negative,fiş topraklı gevşek kalıyor birazda erken ısınıyor,negative,1,tr
816,"bu güne kadar çok farklı matkap markaları da kullanmış biri olarak, kullandıklarım arasında üst sıralara koyabileceğim kalitede bir ürün. ürün ile ilgili bir sorun yaşamayacağınızı düşünüyorum.",negative,güne farklı matkap markaları kullanmış kullandıklarım arasında üst sıralara koyabileceğim kalitede ürün ürün sorunu yasamayacağınızı düşünüyorum,positive,4,tr
817,"verdiğim iki yıldız kesinlikle ürüne değildir, sitenin verdiği hizmetedir. aynı gün kargo demesine rağmen ürünü bir gün gecikmeli olarak kargoya verip, benim maddi zarara uğramama neden oldular. bu siteden ürün almak ile ilgilenen arkadaşlara, ürün  satın almadan önce veya aldıktan hemen sonra müşteri hizmetlerine danışmanızı öneriyorum.",negative,verdiğim yıldız kesinlikle ürüne değildir sitenin verdiği hizmetedir aynı gün kargo demesine ürünü gün gecikmeli kargoya verip maddi zarara uğramama oldular siteden ürün almak ilgilenen arkadaşlara ürün satın almadan aldıktan hemen müşteri hizmetlerine danışmanızı öneriyorum,negative,4,tr
818,herkese keyifli alışverişler dilerim.,negative,keyifli alışverişler dilerim,positive,2,tr
819,"özellıkle ev harıcı yerlerde kullanmamanızı tavsıye ederım artı olarak vatt dusuk amator evde uc bes tane delık delmeye vıda sıkmaya yarar ıyı kullanıldıgında 4 , 5, sene gıder ozellıkle cok ısındıgında dınlendırın",negative,özellikle ev harici yerlerde kullanmamanızı tavsiye ederim artı vaat düşük amatör evde üç beş tane delik delmeye vida sıkmaya yarar iyi kullanıldığında sene gider özellikle çok ısındığında dinlendirin,negative,3,tr
820,"amatör kullanım için yeterli ve güzel bir makine. ancak hediyesi hayal kırıklığı sadece. çin malı, kullanmadan at gitsin. uçlardan mı kaynaklanıyor bilmiyorum, makine çalışırken uçların açısı değişitiğinden yalpalıyor. kullanımı kolay.",negative,amatör kullanım yeterli güzel makine hediyesi hayal kırıklığı sadece çin malı kullanmadan at gitsin uçlardan kaynaklanıyor bilmiyorum makine çalışırken uçların acısı değiştiğinden yalpalıyor kullanımı kolay,negative,0,tr
821,"arkadaşlar iyi olması gereken ana malzemeden endişeniz olmasın yani matkap güzel.ama sakın matkabı 300 parça dedikleri çoğunluğu dübellerden oluşan hediyeye aldanıp almayın.ben babama aldım ve gururla; baba 300 parçada hediyesi var dedim:))bence o ürünü o hediyeler olmadan daha güzel satarlar,çünkü ürünü gölgede bırakıyor.",negative,arkadaşlar iyi gereken ana malzemeden endişeniz olmasın matkap güvelama sakın matkabı parça dedikleri çoğunluğu dübellerden oluşan hediyeye aldanıp almayınben babama aldım gururla baba parçada hediyesi dedimbence ürünü hediyeler olmadan güzel satarlarçünkü ürünü gölgede bırakıyor,negative,0,tr
822,ürün hobyy ev kullanıcıları için ama profesyonel ller için değil bunu belirtmek istedim mavi renkler profesyonelmiş. hediye seti ise dubeller çok ama çok kalitesiz,negative,ürün hobyy ev kullanıcıları profesyonel eller belirtmek istedim mavi renkler profesyonelmiş hediye seti dübeller kalitesiz,negative,3,tr
823,arkadaşlar ürün yani makkap çok süper zaten markasındanda anlaşılıyo ama bu marka ürünün yanına 300 parça hediye olarak çin malını koymuşlar işte bu bozuyo yani hediyesi çok kötü hiç kullanılmıyo yani iş görmez hepsi burda sitesini bu makkabın yanına çin malını koyduğu için kınıyorum inşallah bu hatasını giderir saygılar,negative,arkadaşlar ürün matkap süper markasından da anlaşılıyor marka ürünün yanına parça hediye çin malını koymuşlar bozuyor hediyesi kötü kullanılmıyor iş görmez burada sitesini matkabın yanına çin malını koyduğu kınıyorum inşallah hatasını giderir saygılar,negative,1,tr
824,"bosh ürünlerinin kaliteli olduğunu bildiğim için aldım fakat bu ürün pek kaliteli değil. vidalama yaparken vida ucu içine gidiyor, yani mekanizma kendi kendine gevşeme yapıyor ve çok çabuk ısınıyor. darbeli kullanma seçeneği ise çok güçlü değil duvarı delerken çok sıkıntı yaşayabilirsiniz. açıkçası bu üründen memnun kalmadım. almanızı tavsiye etmem.",negative,bosh ürünlerinin kaliteli bildiğim aldım ürün kaliteli vidalama yaparken vida ucu içine gidiyor mekanizma gevşeme çabuk ısınıyor darbeli kullanma seçeneği güçlü duvarı delerken sıkıntı yaşayabilirsiniz açıkçası üründen memnun kalmadım almanızı tavsiye etmem,negative,2,tr
825,hiç iyi dil,negative,iyi dil,positive,1,tr
826,aldıgım matjap beni şarşırtı ew için de olsan bıraz dha iyi bekliydm gücü cok az darbelide,negative,aldığım matkap şarşırtı ew olsan biraz dha iyi bekliydim gücü çok darbelide,negative,2,tr
827,kalite çok düşük.,negative,kalite düşük,negative,0,tr
828,tam bekledigim gibi degildi sapi hemen bozulcak gibi ,negative,beklediğim değildi sapı hemen bozulacak,negative,1,tr
829,"öncelikle ürünün schafer markasıyla bir alakası olduğunu sanmıyorum. hiçbir yerinde, kutu dahil, öyle bir şey de yazmıyor zaten. çok kaliteli bir malzemeden üretilmemiş. kesim yerlerinden belli ediyor bunu. nette daha uygun fiyata bulabileceğiniz bir ürün ayrıca. beklediğim gibi çıkmadı açıkcası. yorumları okumadan aldığım için pişman oldum",negative,öncelikle ürünün schafer markasıyla alakası sanmıyorum yerinde kutu dahil yazmıyor kaliteli malzemeden üretilmemiş kesim yerlerinden belli nette uygun fiyata bulabileceğiniz ürün beklediğim çıkmadı açıkçası yorumları okumadan aldığım pişman oldum,negative,2,tr
830,kalitesiz malzemeden ozentisiz yapılmış  normal boyutlarda bi caydanlik,negative,kalitesiz malzemeden özentisiz yapılmış normal boyutlarda bir çaydanlık,negative,1,tr
831,"fena değil ama ""schafer"" diye hiç bir yerde yazmıyor bilginiz olsun.",negative,fena schafer yerde yazmıyor bilginiz,positive,2,tr
832,yemeklerde asiri rahatsiz edici koku yapior onun disinda gayet pisirimi cok guzel..,negative,yemeklerde aşırı rahatsız edici koku yapıyor dışında gayet pişirimi çok güzel,negative,3,tr
833,"hepsiburada.coma hızlı iade işleminden dolayı teşekkür ediyorum. özet olarak şunu söyleyebilirim, kapaklı normal bir tava kullansanız ocak daha az kirlenir. yağın ve suyun biriktiği arka taraftaki boşluk tavayı döndürmenizi engelliyor. pişirme esnasında tavayı açamıyorsunuz çünkü tavanın sığ olanı dışa akıtma yapıyor. üründe  tasarım problemi söz konusu. ",negative,Hepsiburada'cıma hızlı iade işleminden teşekkür ediyorum özet söyleyebilirim kapaklı normal tava kullansanız ocak kirlenir yağın suyun biriktiği arka taraftaki boşluk tavayı döndürmenizi engelliyor pişirme esnasında tavayı açamıyorsunuz tavanın sığ olanı dışa akıtma üründe tasarım problemi söz konusu,negative,3,tr
834,yapılan olumlu yorumlar gerçekten ilginç. hepsiburada.com yetkilileri bu dakikadan sonra umarım bu yorumları daha titiz değerlendirir.,negative,olumlu yorumlar gerçekten ilginç Hepsiburada'cım yetkilileri dakikadan umarım yorumları titiz değerlendirir,negative,2,tr
835,"bu haliyle tavanın iki tarafını kullanmak ocağı kirlettiği için zor, kapaklı bir tava kullanmak daha uygun ve ekonomik. ",negative,haliyle tavanın tarafını kullanmak ocağı kirlettiği zor kapaklı tava kullanmak uygun ekonomik,negative,1,tr
836,evdeki ocağım indiksiyon ocak. tavanın tabanı tam ocağı öpmediğinden arada hava boşluğu olduğundan ısıtmadı. iki parça birbirinden kolay ayrılmadı. bende çöpe attım. bu markaya yakışmamış. hepsi buradadan özür dilerim. onun bir suçu yok. hepsi buradaya teşekkürler,negative,evdeki ocağım indüksiyon ocak tavanın tabanı ocağı öpmediğinden hava boşluğu olduğundan ışıtmadı parça birbirinden kolay ayrılmadı bende çöpe attım markaya yakışmamış buramadan özür dilerim suçu yok buradaysa teşekkürler,negative,1,tr
837,çok zorlamaya gelmiyor kararsız çalışıyor çok zorlayınca ispot ediyor gücü yeteriz deposu küçük çok gitmeden bitiyor alırken bi kere daha düşünün,negative,zorlamaya gelmiyor kararsız çalışıyor zorlayınca ispat gücü yeteriz deposu küçük gitmeden bitiyor alırken bir kere düşünün,positive,1,tr
838,kitapçığı çok yetersiz.montaj çok zor..kitapçığı açıklayıcı değil..maine ile uyumsuz.yine de çalıştırdım..,negative,kitapçığı yetersizmontaj zorkitapçığı açıklayıcı değilmaine uyumsuzyine çalıştırdım,negative,0,tr
839,kaç kere denemede ancak çalıçıyor. çok zor çalışıyor . biraz daha para verip daha iyi bir makine alsaydım keşke .,negative,kere denemede çalışıyor zor çalışıyor para verip iyi makine alsaydım keşke,negative,1,tr
840,üründe kullanılan malzeme kalitesiz. ağırlık yapsın diye lambanın içine briket benzeri malzeme koymuşlar fakat yerini ayarlayamadıkları için lamba başlığını eğdiğiniz zaman lamba düşebiliyor.,negative,üründe kullanılan malzeme kalitesiz ağırlık yapsın lambanın içine briket benzeri malzeme koymuşlar yerini ayarlayamadıkları lamba başlığını eğdiğiniz zaman lamba düşebiliyor,negative,1,tr
841,tabi ki bu fiyata fazla bir şey beklememek lazım. ,negative,tabii fiyata fazla beklememek lazım,negative,0,tr
842,ürün enterasan çünkü baş kısmı alt kısmından ağır olduğu için ayakta durmakta zorlanıyor ama bu paraya daha iyi olmazdı sanırım. unutmadan ampülde koyaydınız iyiydi alalı bir hafta oldu bir haftadır ampul almayı unutuyorum :),negative,ürün enteresan baş kısmı alt kısmından ağır ayakta durmakta zorlanıyor paraya iyi olmazdı sanırım unutmadan ampulde koysaydınız iyiydi alalı hafta haftadır ampul almayı unutuyorum,negative,3,tr
843,ürün 2 gün önce elime geçti bugün lamba alıp kullanma fırsatım oldu ancak henüz 15 dk kullandıktan sonra çat çut bises geldi ve duy kısmından duman ve kötü bir plastik kokusu geldi.,negative,ürün gün elime geçti bugün lamba alıp kullanma fırsatım dk kullandıktan çat çat bir ses geldi duy kısmından duman kötü plastik kokusu geldi,negative,1,tr
844,lamba plastikten yapılmış. ancak adi ve kötü kokan bir plastik. kaliteli bir ürün değil. bu tip plastiklerin sağlık açısından zararlı olduğu biliniyor. burada yazan yorumlara güvenerek almıştım. şimdi iade ediyorum. ,negative,lamba plastikten yapılmış adı kötü kokan plastik kaliteli ürün tip plastiklerin sağlık açısından zararlı biliniliyor yazan yorumlara güvenerek almıştım iade ediyorum,negative,1,tr
845,"kimisi ampülle geliyor yazmış,kimisi ampül gelmiyor yazmış ama genel olarak geliyor yazılmış bende ona güvenerek ampül almadım ayrıca fakat yanında ampül gelmedi :/",negative,ampul geliyor yazmışkimisi ampul gelmiyor yazmış genel geliyor yazılmış bende güvenerek ampul almadım yanında ampul gelmedi,negative,1,tr
846,i̇ş görüyor ancak plastiğini hiç beğenmedim çok uyduruk ışık yandıkça çok ısınıyor ,negative,i̇ş görüyor plastiğini beğenmedim uyduruk ışık yandıkça ısınıyor,negative,1,tr
847,yastık çok yüksek değil alçak denilebilir. altına yastık koyuyorum ben. elinizle bastırdığınızda yumuşacık geliyor. başınızın yastığa gömüleceğini düşünüyorsunuz. ama başınızı koyduğunuzda o yastık sanki bir taş oluyor. başınız kesinlikle yastığa gömülmüyor. fotoğraftaki gibi de eğimli değil dümdüz neredeyse.,negative,yastık yüksek alçak denebilir altına yastık koyuyorum elinizle bastırdığınızda yumuşacık geliyor başınızın yastığa gömüleceğini düşünüyorsunuz başınızı koyduğunuzda yastık taş basın kesinlikle yastığa gömülmüyor fotoğraftaki eğimli dümdüz neredeyse,negative,3,tr
848,"almayınn işe yaramıyor. annem yastığımı değiştirmiş boğun ağrısı yaptığı için inceleyip comfortline yastığı sipariş verdim 3 gece denedim, ürünün boyun destek kısmı resimdeki gibi değil öyle kafanı koyduğunda poofidik filanda olmuyor. illa alacaksanız da orta boyu alın büyük boy gereksiz büyüklükte. aslında hediye çeki ile almış olmasan direkt geri gönderecektim de neyse. boyun ağrısı filan çekiyor iseniz en güzeli kaz tüyü normal yastık şeklinde olanlardır. visco olayı pazarlama taktiğinden başka bir şey değil ",negative,almayın işe yaramıyor annem yastığımı değiştirmiş boğun ağrısı inceleyip comfortline yastığı sipariş verdim gece denedim ürünün boyun destek kısmı resimdeki kafanı koyduğunda poofidik filanda olmuyor illa alacaksanız orta boyu alın büyük boy gereksiz büyüklükte hediye çeki almış olmasan direkt geri gönderecektim boyun ağrısı çekiyor iseniz güzeli kaz tüyü normal yastık şeklinde olanlardır visco olayı pazarlama taktiğinden başka,negative,0,tr
849,urunun benzer daha ucuz fiyatlilari her avm de bulabilirsiniz . ben ozel bi durum vardir diye dusundum. kalitesiz,negative,ürünün benzer ucuz fiyatlıları avm bulabilirsiniz özel bir durum vardır düşündüm kalitesiz,negative,3,tr
850,"boyun dolgu kısmı göründüğü gibi değil yetersiz geldi bana, bir taraf yüksek dolgu diğer taraf düz sanmıştım ama oyuntu çok az neredeyse dümdüz olcakmış, 1 haftadır falan kullamıyorum ama boynum ağrımaya başladı, ayrıca normal yastıklara göre geniş olduğu için nevresim yastık kılıfı takamıyorum ki ben o şekilde kullanmayı seviyorum, önceki boyun yastığımı öyle kullanıyordum. görerek başka bir yastık almak durumundayım :( ",negative,boyun dolgu kısmı göründüğü yetersiz geldi taraf yüksek dolgu taraf düz sanmıştım oyuntu neredeyse dümdüz olacakmış haftadır kullanıyorum boynum ağrımaya başladı normal yastıklara geniş nevresim yastık kılıfı takamıyorum kullanmayı seviyorum önceki boyun yastığımı kullanıyordum görerek başka yastık almak durumundayım,negative,3,tr
851,çelik mi? çelik. ama üretim kalitesi birhayli zayıf. i̇ndirimden uygun fiyata alırsanız f/p açısından bir avuntunuz olur. i̇ş görür ama o kadar.,negative,çelik çelik üretim kalitesi birhayli zayıf indirimden uygun fiyata alırsanız fp açısından avuntunuz i̇ş görür,negative,3,tr
852,hiç tavsiye etmem yorumlara bakarak aldım. geldiği gibi gönderdim. çok kalitesiz bir ürün.,negative,tavsiye etmem yorumlara bakarak aldım geldiği gönderdim kalitesiz ürün,negative,1,tr
853,fena deyil,negative,fena değil,negative,2,tr
854,çok kalitesiz bir ürün. sonra hayal kırıklığına uğramayın. ben eve almıştım kalitesiz olduğunu görünce bir yere hediye götürdüm. ??,negative,kalitesiz ürün hayal kırıklığına uğramayın eve almıştım kalitesiz görünce yere hediye götürdüm,negative,1,tr
855,fiyatının kalitesinde bir ürün. çok birşey beklemeyin derim. çok hafif ve basit. schafer kalitesi bu kadar mı? diye sorguluyor insan...,negative,fiyatının kalitesinde ürün beklemeyin derim hafif basit schafer kalitesi sorguluyor insan,negative,4,tr
856,2-3 ay kullanırsınız. çelik kalitesi kötü,negative,ay kullanırsınız çelik kalitesi kötü,negative,1,tr
857,günlük kullanım için tavsiye edililebilir,negative,günlük kullanım tavsiye edilebilir,negative,0,tr
858,ürün gayet gösterişli. lakin çay dökerken emziginden akıtıyor. tavsiye etmem.  pişman oldum.,negative,ürün gayet gösterişli lakin çay dökerken emziğinden akıtıyor tavsiye etmem pişman oldum,negative,0,tr
859,aldığım çaydanlık çok mükemmel herkese tasviye ederim teşekkür ederim. hepsiburada.com çok sağlam ve güvenilir alışveriş veriş sitesi herkese tavsiye ederim. teşekkür ederim http:// www.hepsiburada.com ,negative,aldığım çaydanlık mükemmel tavsiye ederim teşekkür ederim Hepsiburada'cım sağlam güvenilir alışveriş veriş sitesi tavsiye ederim teşekkür ederim http wwwhepsiburadacom,positive,1,tr
860,başarılar. ...,negative,başarılar,positive,1,tr
861,demlik kapağı var ama çaydanlık  kapağı yok - demlik kısmı biraz küçük - saplar kaliteli değil. ,negative,demlik kapağı çaydanlık kapağı yok demlik kısmı küçük saplar kaliteli,negative,4,tr
862,ürün kusursuz elime ulaştı fakat ürünün parçaları bana ağır geldi.kolayca iade edebildim.teşekkürler hepsiburada.1 numarasın....,negative,ürün kusursuz elime ulaştı ürünün parçaları ağır geldikolayca iade edebildimteşekkürler hepsiburada numarasın,positive,2,tr
863,krom kaplaması on ayda cıktı paslandı ,negative,krom kaplaması ayda çıktı paslandı,negative,1,tr
864,t çekme kolu kırıldı.en azından orası metal oluşaymış. çöpe atmak zorunda kaldım ,negative,t çekme akıl Kiril'den azından orası metal oluşaymış çöpe atmak zorunda kaldım,negative,4,tr
865,fena değil,negative,fena,negative,2,bs
866,normal,negative,normal,negative,1,war
867,plastikler kırıldı dandik kısacası,negative,plastikler kırıldı dandik kısacası,negative,1,tr
868,almayın,negative,almayın,negative,2,tr
869,ürünü kesinlkle tavsiye etmiyorum sadece iki ay içinde sabun almak için basma yerleri kırıldı pilastiği çok kötü zaten niye plastik onuda anlamadım sakın almayı düşünmeyin,negative,ürünü kesinlikle tavsiye etmiyorum sadece ay sabun almak basma yerleri kırıldı plastiği kötü plastik onu da anlamadım sakın almayı düşünmeyin,negative,0,tr
870,"ürünün en sağlam olması gereken yeri, fotoğrafta da görebileceğiniz çekme kolu. fakat bu aparat metal destekli değil, direkt basit bir plastik olduğu için geçen gün elimde kaldı. hem de hiçbir şekilde şiddet uygulamadım. şu an öylece duruyor, yapıştırma ihtimali de yok. keşke sağlam, basit başka bir ürün alsaydım dedirten bir ürün...",negative,ürünün sağlam gereken yeri fotoğrafta görebileceğiniz çekme akıl aparat metal destekli direkt basit plastik geçen gün elimde kaldı şiddet uygulamadım an öylece duruyor yapıştırma ihtimali yok keşke sağlam basit başka ürün alsaydım dedirten ürün,negative,0,tr
871,metal gibi gözüküyor.resimde de ne kadar canlı ama maalesef göründüğü gibi değil. ben kullanmadım ve başka metal ürün aldım.,negative,metal gözüküyorresimde canlı maalesef göründüğü kullanmadım başka metal ürün aldım,negative,4,tr
872,1 haftadir kullaniyorum. gozlemlemeye devam ediyorum. ancak kullanmaya basladiktan sonra banyoyu karincalar basti. takip edip tekrar yazacagim.,negative,haftadır kullanıyorum gözlemlemeye devam ediyorum kullanmaya başladıktan banyoyu karıncalar bastı takip edip tekrar yazacağım,positive,3,tr
873,uzunca bir süredir evde prize takılı olarak kullanmamıza rağmen gözle görülür herhangi bir etkisini göremedik bu cihazın,negative,uzunca süredir evde prize takılı kullanmamıza gözle görülür etkisini göremedik cihazın,negative,1,tr
874,3 adet almıştım hiç bir etkisi yok  farelere,negative,adet almıştım etkisi yok farelere,negative,1,tr
875,"ci̇hazin çikardiği ses hamam böcekleri̇ni̇ etrafina topluyor.ben mi̇ yanliş anladim, kovmayacak miydi? ci̇hazin sesi̇ne gelen haşereleri̇ el yordamiyla öldürmek mi̇ydi̇ amaç?",negative,çi̇hazin çıkardığı ses hamam böcekleri̇ni̇ etrafına topluyorken mi̇ yanlış anladım kovmayacak miydi ci̇hazin sesine gelen haşerelerin el yordamıyla öldürmek mi̇ydi̇ amaç,negative,2,tr
876,hiç işe yaramıyor.boşa paranızı sokağa atamayın.,negative,işe yaramıyorboşa paranızı sokağa atamasanıza,negative,2,tr
877,fareler icin aldim hala daha bahcede fare  var ise yaramiyor 1 aydir nerdeyse mullaniyorum... yeni urun bakiyorum suanda,negative,fareler için aldım bahçede fare yaramıyor aydır neredeyse mollanıyorum yeni ürün bakıyorum şu anda,negative,0,tr
878,hala böcekler geziniyor işe yaramıyor ürün ,negative,böcekler geziniyor işe yaramıyor ürün,negative,0,tr
879,5 ad.aldım. kesinlikle işe yaramıyor. aldığıma pişman oldum. aldanmayın. yorunları kesinlikle okuyun.,negative,adaldım kesinlikle işe yaramıyor aldığıma pişman oldum aldanmayın yorumları kesinlikle okuyun,negative,1,tr
880,karınca ve hamam böceği için almıştım... hiçte memnun kalmadım...,negative,karınca hamam böceği almıştım hiçte memnun kalmadım,negative,2,tr
881,20 gündür kullanıyorum. hala örümcek var hala örümcek var 2 tane kullanıyorum hemde :) sinekte oluyor.,negative,gündür kullanıyorum örümcek örümcek tane kullanıyorum hem de sinekte,negative,0,tr
882,hiç bir şeye faydası yok 3 adet aldım ama çok pişman oldum,negative,faydası yok adet aldım pişman oldum,negative,1,tr
883,sivri sineklerde işe yaramıyor. bence hiç almayın derim,negative,sivri sineklerde işe yaramıyor bence almayın derim,negative,0,tr
884,ürün çalışırken hamam böcekleri rahat rahat dolaşıyor evde,negative,ürün çalışırken hamam böcekleri rahat rahat dolaşıyor evde,negative,3,tr
885,1hafta kullandım kesinlikle etkisi yok ve aşırı sesli çalışıyor rahatsız ediyor.artık kullanmıyorum,negative,hafta kullandım kesinlikle etkisi yok aşırı sesli çalışıyor rahatsız ediyorartık kullanmıyorum,negative,1,tr
886,ürünün üzerine sinek konuyor çalışırken gerisini siz düşünün sadece süs ,negative,ürünün üzerine sinek konuyor çalışırken gerisini düşünün sadece sus,negative,4,tr
887,plastik kalitesi iyi degil ve hafif ve etkisiz bir gorunum veriyor.kirmizi işikla frekans veri̇yor o kadar açiklamaya plastik kaliteside eklenseydi herkes daha memnun olurdu sanirim.,negative,plastik kalitesi iyi değil hafif etkisiz görünüm veriyorkırmızı ışıkla frekans veriyor açıklamaya plastik kalitesi de eklenseydi memnun olurdu sanırım,negative,4,tr
888,ürünün henüz bir maharetini göremedim. ,negative,ürünün maharetini göremedim,negative,2,tr
889,kandırılmışım gibi hissediyorum. mavi ışığını gece lambası olarak kullanabilirsiniz. ,negative,kandırılmışım hissediyorum mavi ışığını gece lambası kullanabilirsiniz,negative,1,tr
890,sineklerin bir üzerine gidip s.çmadığı kaldı. karıncaların da haberi yok bu ürünün prize takılı olduğundan. :(,negative,sineklerin üzerine gidip açmadığı kaldı karıncaların haberi yok ürünün prize takılı olduğundan,negative,0,tr
891,sinek kovucu demiş. bi işe yaradığı yok,negative,sinek kovucu demiş bir işe yaradığı yok,negative,0,tr
892,sanırım karıncalarda ile yaramıyor çünkü 3 haftadır takılı karıncalar çogalarak ve daha büyük şekilde çıkmaya devam etti. diger böceklerde ile yararmı bilmem ama karınca için alacaklara tavsi̇ye etmi̇yorum..,negative,sanırım karıncalarda yaramıyor haftadır takılı karıncalar çoğalarak büyük çıkmaya devam diğer böceklerde yarar mı bilmem karınca alacaklara tavsiye etmiyorum,negative,3,tr
893,ürün elime geçeli nerdeyse 1 ay oldu. malesef ürün etkili değil.yada karıncalarda etkili değil,negative,ürün elime geçeli neredeyse ay maalesef ürün etkili değilyada karıncalarda etkili,negative,1,tr
894,ürün elime geçeli yaklaşık 3 hafta oldu. ne işe yaradığı hakkında henüz bilgi sahibi olamadım. umarım haşereler üzerinde etkilidir. yalnızca onlar kaldı test edemediğim de :) ,negative,ürün elime geçeli yaklaşık hafta işe yaradığı hakkında bilgi sahibi olamadım umarım haşereler üzerinde etkilidir yalnızca kaldı test edemediğim,negative,0,tr
895,karınca için aldm hiç işe yaramadı 1 aydır bi değişiklik yok paranızı çöpe atmayın!,negative,karınca aldım işe yaramadı aydır bir değişiklik yok paranızı çöpe atmayın,negative,0,tr
896,hi̇çbi̇r etki̇si̇ni̇ görmedi̇m arkadaşlar. paranizi çöpe atmayin.,negative,hi̇çbi̇r etki̇si̇ni̇ görmedim arkadaşlar paranızı çöpe atmayın,negative,1,tr
897,gece lambası görevi yapmaktan başka birseye yaramıyor karıncalar resmen cihazın altında geziyor bu üründen 2 adet aldım ikisindende farklı ses çıkıyor kısacası işe yaramaz.,negative,gece lambası görevi yapmaktan başka birşeye yaramıyor karıncalar resmen cihazın altında geziyor üründen adet aldım ikisinden de farklı ses çıkıyor kısacası işe yaramaz,negative,1,tr
898,odama takali 5 ay oldu. sinekler bocekler orumcekler daha da cogaldi. sanki hepsini miknatis gibi odama cekiyor. bugun itibariyle aleti paramparca ettim dogal yontemlere gectim. limon ve salatalik kabugu koydum.,negative,odama takalı ay sinekler böcekler örümcekler çoğaldı hepsini mıknatıs odama çekiyor bugün aleti paramparça ettim doğal yöntemlere geçtim limon salatalık kabuğu koydum,negative,2,tr
899,aldığım siparişi ürün hiç ürünleri iyi değil hiç de tasviye etmiyorum .hiç bir de etkisi de yok,negative,aldığım siparişi ürün ürünleri iyi tavsiye etmiyorum etkisi yok,negative,0,tr
900,"kesinlikle etkisi yok, fiyati uygun diye denemek icin alip paranizi cope atmayin.kullanali 7 gun oldu. evi tamamen temizleyip taktim karincalar sinekler evde hala cirit atiyor. ",negative,kesinlikle etkisi yok fiyatı uygun denemek için alıp paranızı çöpe atmayınkullanalı gün evi temizleyip taktım karıncalar sinekler evde cirit atıyor,negative,4,tr
901,hiç işe yaramadı farelere etkili mi bilmem ama sinekler kol geziyor,negative,işe yaramadı farelere etkili bilmem sinekler kol geziyor,negative,1,tr
902,3 gündür kullanıyorum hiçbir etkisini görmedim. aletin yanında böcekler gayet rahat geziniyorlar nispet edercesine..,negative,gündür kullanıyorum etkisini görmedim aletin yanında böcekler gayet rahat geziniyorlar nispet edercesine,negative,4,tr
903,"kesinlikle, hiçbir işe yaramıyor, alırsanız sadece gece lambası olarak kullanırsınız.",negative,kesinlikle işe yaramıyor alırsanız sadece gece lambası kullanırsınız,negative,1,tr
904,fare icin aldim. fındık  faresi....   soylendigi gibi degil malesef hayvan resmen makinanin yaninda cirit atıyor. diger hasere böcekler için  bir sey diyemem ama.,negative,fare için aldım fındık faresi söylendiği değil maalesef hayvan resmen makinanın yanında cirit atıyor diğer haşere böcekler şey diyemem,negative,4,tr
905,"hiç bir işe yaramıyor, kullandım",negative,işe yaramıyor kullandım,negative,1,tr
906,si̇vri̇ si̇nek falan kovmuyor. ben sadece onun i̇çi̇n almiştim,negative,sı̇vri̇ sinek kovmuyor sadece i̇ci̇n almıştım,negative,4,tr
